start_lat,start_lng,end_lat,end_lng,distance,timestamp,month,day,date,weekday,time
44.15292278,-79.73630855,44.1870881,-79.6705665,8.9,2020-06-29-142854986757,6,29,2020-06-29,1,14.46666667
44.12094024,-79.79197121,44.1697454,-79.7528009,7.8,2020-06-29-142855307943,6,29,2020-06-29,1,14.46666667
44.15292278,-79.73630855,44.1871321,-79.6706479,8.9,2020-06-29-142855345184,6,29,2020-06-29,1,14.46666667
44.1870881,-79.6705665,44.1697454,-79.7528009,11.1,2020-06-29-142859349257,6,29,2020-06-29,1,14.46666667
44.1870881,-79.6705665,44.12072194,-79.79209308,17.3,2020-06-29-142859748938,6,29,2020-06-29,1,14.46666667
44.1870881,-79.6705665,44.15292278,-79.73630855,8.9,2020-06-29-142859954163,6,29,2020-06-29,1,14.46666667
44.12072194,-79.79209308,44.12094024,-79.79197121,0.035,2020-06-29-142900275286,6,29,2020-06-29,1,14.48333333
44.12072194,-79.79209308,44.1871321,-79.6706479,17.3,2020-06-29-142900479408,6,29,2020-06-29,1,14.48333333
44.12072194,-79.79209308,44.15292278,-79.73630855,7.5,2020-06-29-142902502909,6,29,2020-06-29,1,14.48333333
44.1870881,-79.6705665,44.12094024,-79.79197121,17.4,2020-06-29-142903032508,6,29,2020-06-29,1,14.48333333
44.12072194,-79.79209308,44.1870881,-79.6705665,17.3,2020-06-29-142903704604,6,29,2020-06-29,1,14.48333333
44.12072194,-79.79209308,44.1697454,-79.7528009,7.8,2020-06-29-142903775817,6,29,2020-06-29,1,14.48333333
44.1871321,-79.6706479,44.15292278,-79.73630855,8.9,2020-06-29-142906926083,6,29,2020-06-29,1,14.48333333
44.1871321,-79.6706479,44.1697454,-79.7528009,11.1,2020-06-29-142907584606,6,29,2020-06-29,1,14.48333333
44.1697454,-79.7528009,44.12072194,-79.79209308,7.8,2020-06-29-142908481595,6,29,2020-06-29,1,14.48333333
44.1697454,-79.7528009,44.12094024,-79.79197121,7.8,2020-06-29-142908618424,6,29,2020-06-29,1,14.48333333
44.1871321,-79.6706479,44.12094024,-79.79197121,17.4,2020-06-29-142910968890,6,29,2020-06-29,1,14.48333333
44.1871321,-79.6706479,44.12072194,-79.79209308,17.3,2020-06-29-142911014577,6,29,2020-06-29,1,14.48333333
44.1697454,-79.7528009,44.15292278,-79.73630855,4.7,2020-06-29-142911064638,6,29,2020-06-29,1,14.48333333
44.1697454,-79.7528009,44.1871321,-79.6706479,11.1,2020-06-29-142911960823,6,29,2020-06-29,1,14.48333333
44.1697454,-79.7528009,44.1870881,-79.6705665,11.1,2020-06-29-142913345090,6,29,2020-06-29,1,14.48333333
44.15292278,-79.73630855,44.12072194,-79.79209308,7.5,2020-06-29-143849362885,6,29,2020-06-29,1,14.63333333
44.15292278,-79.73630855,44.1697454,-79.7528009,4.7,2020-06-29-143849596456,6,29,2020-06-29,1,14.63333333
44.12094024,-79.79197121,44.1870881,-79.6705665,16.4,2020-06-29-143849641366,6,29,2020-06-29,1,14.63333333
44.15292278,-79.73630855,44.12094024,-79.79197121,7.5,2020-06-29-143849672624,6,29,2020-06-29,1,14.63333333
44.12094024,-79.79197121,44.1871321,-79.6706479,16.4,2020-06-29-143849776599,6,29,2020-06-29,1,14.63333333
44.15292278,-79.73630855,44.1871321,-79.6706479,8.9,2020-06-29-143852189593,6,29,2020-06-29,1,14.63333333
44.12094024,-79.79197121,44.15292278,-79.73630855,7.5,2020-06-29-143853055331,6,29,2020-06-29,1,14.63333333
44.12094024,-79.79197121,44.12072194,-79.79209308,0.035,2020-06-29-143853180122,6,29,2020-06-29,1,14.63333333
44.15292278,-79.73630855,44.1870881,-79.6705665,8.9,2020-06-29-143853254991,6,29,2020-06-29,1,14.63333333
44.12094024,-79.79197121,44.1697454,-79.7528009,7.8,2020-06-29-143853634297,6,29,2020-06-29,1,14.63333333
44.1870881,-79.6705665,44.15292278,-79.73630855,8.9,2020-06-29-143855153480,6,29,2020-06-29,1,14.63333333
44.1870881,-79.6705665,44.12072194,-79.79209308,17.3,2020-06-29-143856251696,6,29,2020-06-29,1,14.63333333
44.12072194,-79.79209308,44.12094024,-79.79197121,0.035,2020-06-29-143856605324,6,29,2020-06-29,1,14.63333333
44.1870881,-79.6705665,44.1697454,-79.7528009,11.1,2020-06-29-143856990911,6,29,2020-06-29,1,14.63333333
44.12072194,-79.79209308,44.1871321,-79.6706479,17.3,2020-06-29-143857065846,6,29,2020-06-29,1,14.63333333
44.1870881,-79.6705665,44.12094024,-79.79197121,17.4,2020-06-29-143858254167,6,29,2020-06-29,1,14.63333333
44.12072194,-79.79209308,44.1870881,-79.6705665,17.3,2020-06-29-143859925641,6,29,2020-06-29,1,14.63333333
44.12072194,-79.79209308,44.1697454,-79.7528009,7.8,2020-06-29-143900333701,6,29,2020-06-29,1,14.65
44.12072194,-79.79209308,44.15292278,-79.73630855,7.5,2020-06-29-143900476574,6,29,2020-06-29,1,14.65
44.1871321,-79.6706479,44.15292278,-79.73630855,8.9,2020-06-29-143901479925,6,29,2020-06-29,1,14.65
44.1871321,-79.6706479,44.1697454,-79.7528009,11.1,2020-06-29-143903184442,6,29,2020-06-29,1,14.65
44.1697454,-79.7528009,44.12094024,-79.79197121,7.8,2020-06-29-143903946363,6,29,2020-06-29,1,14.65
44.1697454,-79.7528009,44.12072194,-79.79209308,7.8,2020-06-29-143904232588,6,29,2020-06-29,1,14.65
44.1871321,-79.6706479,44.12094024,-79.79197121,17.4,2020-06-29-143904795684,6,29,2020-06-29,1,14.65
44.1871321,-79.6706479,44.12072194,-79.79209308,17.3,2020-06-29-143905890287,6,29,2020-06-29,1,14.65
44.1697454,-79.7528009,44.15292278,-79.73630855,4.7,2020-06-29-143906429392,6,29,2020-06-29,1,14.65
44.1697454,-79.7528009,44.1870881,-79.6705665,11.1,2020-06-29-143906855279,6,29,2020-06-29,1,14.65
44.1697454,-79.7528009,44.1871321,-79.6706479,11.1,2020-06-29-143907022596,6,29,2020-06-29,1,14.65
44.15292278,-79.73630855,44.12094024,-79.79197121,7.5,2020-06-29-150638582439,6,29,2020-06-29,1,15.1
44.15292278,-79.73630855,44.12072194,-79.79209308,7.5,2020-06-29-150638966744,6,29,2020-06-29,1,15.1
44.12094024,-79.79197121,44.1870881,-79.6705665,16.4,2020-06-29-150639023076,6,29,2020-06-29,1,15.1
44.15292278,-79.73630855,44.1697454,-79.7528009,4.7,2020-06-29-150639139183,6,29,2020-06-29,1,15.1
44.12094024,-79.79197121,44.1871321,-79.6706479,16.4,2020-06-29-150639149958,6,29,2020-06-29,1,15.1
44.15292278,-79.73630855,44.1870881,-79.6705665,8.9,2020-06-29-150641596626,6,29,2020-06-29,1,15.1
44.15292278,-79.73630855,44.1871321,-79.6706479,8.9,2020-06-29-150642380724,6,29,2020-06-29,1,15.1
44.12094024,-79.79197121,44.15292278,-79.73630855,7.5,2020-06-29-150642745928,6,29,2020-06-29,1,15.1
44.12094024,-79.79197121,44.1697454,-79.7528009,7.8,2020-06-29-150643021881,6,29,2020-06-29,1,15.1
44.12094024,-79.79197121,44.12072194,-79.79209308,0.035,2020-06-29-150643035413,6,29,2020-06-29,1,15.1
44.1870881,-79.6705665,44.15292278,-79.73630855,8.9,2020-06-29-150644556226,6,29,2020-06-29,1,15.1
44.1870881,-79.6705665,44.12072194,-79.79209308,17.3,2020-06-29-150645419178,6,29,2020-06-29,1,15.1
44.1870881,-79.6705665,44.1697454,-79.7528009,11.1,2020-06-29-150645503766,6,29,2020-06-29,1,15.1
44.12072194,-79.79209308,44.12094024,-79.79197121,0.035,2020-06-29-150646044533,6,29,2020-06-29,1,15.1
44.12072194,-79.79209308,44.1871321,-79.6706479,17.3,2020-06-29-150646245959,6,29,2020-06-29,1,15.1
44.1870881,-79.6705665,44.12094024,-79.79197121,17.4,2020-06-29-150647993699,6,29,2020-06-29,1,15.1
